,wavfile,start_sec,end_sec,gl_ver_idx,note_id,tune,subject_id,eg,instrument
125,/20210407/AndreHappyBirthday,135.06887621878195,136.06887621878192,6,0,happy_birthday,0,sad,lab
126,/20210407/AndreHappyBirthday,136.06887621878192,136.4888762187819,6,1,happy_birthday,0,sad,lab
127,/20210407/AndreHappyBirthday,136.4888762187819,137.50887621878195,6,2,happy_birthday,0,sad,lab
128,/20210407/AndreHappyBirthday,137.50887621878195,138.56887621878192,6,3,happy_birthday,0,sad,lab
129,/20210407/AndreHappyBirthday,138.56887621878192,139.71887621878193,6,4,happy_birthday,0,sad,lab
130,/20210407/AndreHappyBirthday,139.71887621878193,141.65887621878193,6,5,happy_birthday,0,sad,lab
131,/20210407/AndreHappyBirthday,141.69887621878195,142.4888762187819,6,6,happy_birthday,0,sad,lab
132,/20210407/AndreHappyBirthday,142.4888762187819,142.83887621878193,6,7,happy_birthday,0,sad,lab
133,/20210407/AndreHappyBirthday,142.83887621878193,143.8688762187819,6,8,happy_birthday,0,sad,lab
134,/20210407/AndreHappyBirthday,143.8688762187819,144.84887621878192,6,9,happy_birthday,0,sad,lab
135,/20210407/AndreHappyBirthday,144.91887621878195,146.06887621878192,6,10,happy_birthday,0,sad,lab
136,/20210407/AndreHappyBirthday,146.06887621878192,147.63887621878197,6,11,happy_birthday,0,sad,lab
137,/20210407/AndreHappyBirthday,148.31887621878192,149.10887621878194,6,12,happy_birthday,0,sad,lab
138,/20210407/AndreHappyBirthday,149.10887621878194,149.51387621878192,6,13,happy_birthday,0,sad,lab
139,/20210407/AndreHappyBirthday,149.51387621878192,150.66887621878192,6,14,happy_birthday,0,sad,lab
140,/20210407/AndreHappyBirthday,150.66887621878192,151.63887621878192,6,15,happy_birthday,0,sad,lab
141,/20210407/AndreHappyBirthday,151.64887621878194,152.75887621878192,6,16,happy_birthday,0,sad,lab
142,/20210407/AndreHappyBirthday,152.75887621878192,153.81887621878192,6,17,happy_birthday,0,sad,lab
143,/20210407/AndreHappyBirthday,153.81887621878192,155.17887621878194,6,18,happy_birthday,0,sad,lab
144,/20210407/AndreHappyBirthday,155.93887621878193,156.71887621878193,6,19,happy_birthday,0,sad,lab
145,/20210407/AndreHappyBirthday,156.71887621878193,157.07387621878195,6,20,happy_birthday,0,sad,lab
146,/20210407/AndreHappyBirthday,157.07387621878195,158.10887621878192,6,21,happy_birthday,0,sad,lab
147,/20210407/AndreHappyBirthday,158.16887621878192,159.40887621878193,6,22,happy_birthday,0,sad,lab
148,/20210407/AndreHappyBirthday,159.40887621878193,160.70887621878194,6,23,happy_birthday,0,sad,lab
149,/20210407/AndreHappyBirthday,160.70887621878194,162.42887621878194,6,24,happy_birthday,0,sad,lab
150,/20210505/HappyBirthday,6.7714454197832925,7.141445419783293,27,0,happy_birthday,1,angry,lab
151,/20210505/HappyBirthday,7.141445419783293,7.281445419783292,27,1,happy_birthday,1,angry,lab
152,/20210505/HappyBirthday,7.281445419783292,7.701445419783292,27,2,happy_birthday,1,angry,lab
153,/20210505/HappyBirthday,7.701445419783292,8.121445419783292,27,3,happy_birthday,1,angry,lab
154,/20210505/HappyBirthday,8.121445419783292,8.551445419783292,27,4,happy_birthday,1,angry,lab
155,/20210505/HappyBirthday,8.551445419783292,9.391445419783294,27,5,happy_birthday,1,angry,lab
156,/20210505/HappyBirthday,9.421445419783293,9.731445419783292,27,6,happy_birthday,1,angry,lab
157,/20210505/HappyBirthday,9.731445419783292,9.861445419783292,27,7,happy_birthday,1,angry,lab
158,/20210505/HappyBirthday,9.861445419783292,10.231445419783292,27,8,happy_birthday,1,angry,lab
159,/20210505/HappyBirthday,10.231445419783292,10.611445419783292,27,9,happy_birthday,1,angry,lab
160,/20210505/HappyBirthday,10.611445419783292,11.061445419783292,27,10,happy_birthday,1,angry,lab
161,/20210505/HappyBirthday,11.101445419783293,11.675397137084945,27,11,happy_birthday,1,angry,lab
162,/20210505/HappyBirthday,11.871445419783292,12.111445419783294,27,12,happy_birthday,1,angry,lab
163,/20210505/HappyBirthday,12.111445419783294,12.271445419783294,27,13,happy_birthday,1,angry,lab
164,/20210505/HappyBirthday,12.271445419783294,12.701445419783294,27,14,happy_birthday,1,angry,lab
165,/20210505/HappyBirthday,12.701445419783294,13.091445419783293,27,15,happy_birthday,1,angry,lab
166,/20210505/HappyBirthday,13.091445419783293,13.521445419783293,27,16,happy_birthday,1,angry,lab
167,/20210505/HappyBirthday,13.521445419783293,13.961445419783292,27,17,happy_birthday,1,angry,lab
168,/20210505/HappyBirthday,13.961445419783292,14.351445419783293,27,18,happy_birthday,1,angry,lab
169,/20210505/HappyBirthday,14.401445419783292,14.741445419783291,27,19,happy_birthday,1,angry,lab
